Area,Population difference (%),Animal protein (%),Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Clusters
St. Lucia,1.105,26.548,2633.0,84.3,5
St. Vincent and the Grenadines,0.909,21.533,2949.0,91.46,5
Sao Tome and Principe,3.865,8.326,2402.0,54.56,1
Saudi Arabia,3.529,14.082,3302.0,89.55,4
Senegal,5.688,6.382,2601.0,64.39,1
Seychelles,2.083,19.725,3123.0,95.8,5
Sierra Leone,4.34,3.945,2332.0,50.33,1
Slovenia,0.145,25.786,3149.0,95.34,3
Slovak Republic,0.165,31.503,2914.0,71.07,3
South Africa,2.715,16.08,2898.0,79.77,2
Spain,0.193,26.045,3348.0,108.54,3
Suriname,1.93,15.664,2758.0,68.04,2
Tajikistan,4.966,15.298,2484.0,71.64,2
Eswatini,2.044,10.77,2544.0,60.03,2
Sweden,1.323,32.915,3184.0,108.1,3
Switzerland,1.596,33.56,3379.0,97.16,3
Syrian Arab Republic,-0.152,15.217,2760.0,74.09,5
Turkmenistan,3.196,21.952,2879.0,89.97,5
Tanzania,6.12,6.908,2374.0,60.08,1
Thailand,0.601,12.749,2808.0,60.83,5
Togo,4.988,4.343,2464.0,56.8,1
Trinidad and Tobago,0.795,20.919,2959.0,85.05,5
Oman,6.622,19.722,2951.0,84.67,2
Tunisia,2.292,11.46,3499.0,100.76,4
Turkey,2.853,16.363,3734.0,111.07,4
Uganda,7.538,7.143,2156.0,43.14,1
United Kingdom,1.203,29.013,3395.0,106.19,3
Ukraine,-1.11,24.242,3036.0,90.09,3
United States,1.224,29.156,3862.0,115.01,3
Burkina Faso,5.877,5.525,2733.0,80.16,2
Uruguay,0.727,26.27,3209.0,87.51,3
Uzbekistan,3.198,23.361,3219.0,100.37,5
Vietnam,1.967,21.062,2939.0,88.21,5
Ethiopia,5.337,4.141,2439.0,70.55,1
Samoa,1.026,26.3,3095.0,89.49,3
"Yemen, Rep.",4.767,6.835,2019.0,53.33,1
"Congo, Dem. Rep.",6.624,1.516,1913.0,25.91,1
Zambia,5.975,7.146,2267.0,60.89,1
Belgium,1.042,33.079,3800.0,100.34,3
Luxembourg,4.054,33.79,3504.0,108.95,3
Serbia,-0.657,28.517,2865.0,86.58,3
Montenegro,0.0,34.858,3520.0,111.99,3
Sudan,4.9,13.677,2581.0,75.87,2
China,0.895,22.575,3340.0,105.11,3
