Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","34.66","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2626","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","76.1","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","749","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","48.43","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2626","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","61.33","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","123","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","12.22","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2989","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","90.04","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","713","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","50.77","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","57","Bélarus","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3295","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","57","Bélarus","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","91.65","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","57","Bélarus","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","836","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","57","Bélarus","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","49.78","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3800","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","100.34","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","1257","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","60.58","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","23","Belize","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2744","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","23","Belize","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","73.54","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","23","Belize","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","616","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","23","Belize","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","32.99","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","53","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2775","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","53","Bénin","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","62.92","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","53","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","128","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","53","Bénin","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","12.91","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","19","Bolivie (État plurinational de)","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2464","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","19","Bolivie (État plurinational de)","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","74.37","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","19","Bolivie (État plurinational de)","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","546","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","19","Bolivie (État plurinational de)","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","35.61","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","80","Bosnie-Herzégovine","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3320","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","80","Bosnie-Herzégovine","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","98.21","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","80","Bosnie-Herzégovine","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","596","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","80","Bosnie-Herzégovine","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","35.47","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","20","Botswana","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2570","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","20","Botswana","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","72.18","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","20","Botswana","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","356","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","20","Botswana","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","27.09","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","21","Brésil","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3246","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","21","Brésil","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","93.81","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","21","Brésil","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","875","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","21","Brésil","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","54.86","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","27","Bulgarie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2854","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","27","Bulgarie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","82.24","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","27","Bulgarie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","690","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","27","Bulgarie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","41.42","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","233","Burkina Faso","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2733","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","233","Burkina Faso","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","80.16","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","233","Burkina Faso","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","151","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","233","Burkina Faso","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","10.87","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","29","Burundi","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","1825","Fc","Donnée calculée"
