Area Code,Area,Year,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Animal protein (%),population 2017,population 2019 (1000 p),Population difference (%),Poultry quantity (%),Poultry Meat Production (1000 tonnes),Country Code,GDP per capita,Region
75,"Gambia, The",2019,2483.0,62.82,8.014,2214,2348,6.052,2.967,2.0,GMB,772.046,Sub-Saharan Africa
79,Germany,2019,3559.0,104.24,29.699,82658,83517,1.039,3.314,1544.0,DEU,46794.899,Europe & Central Asia
80,Bosnia and Herzegovina,2019,3320.0,98.21,17.952,3352,3301,-1.521,3.317,70.0,BIH,6119.762,Europe & Central Asia
81,Ghana,2019,3114.0,61.76,3.982,29121,30418,4.454,1.516,66.0,GHA,2246.626,Sub-Saharan Africa
83,Kiribati,2019,3071.0,70.35,11.592,114,118,3.509,3.264,1.0,KIR,1601.862,East Asia & Pacific
84,Greece,2019,3396.0,107.35,24.823,10569,10473,-0.908,4.938,230.0,GRC,19133.758,Europe & Central Asia
86,Grenada,2019,2479.0,72.51,24.002,111,112,0.901,11.836,0.0,GRD,10827.435,Latin America & Caribbean
89,Guatemala,2019,2556.0,69.69,11.15,16915,17581,3.937,4.955,234.0,GTM,4638.635,Latin America & Caribbean
90,Guinea,2019,2849.0,57.49,4.949,12068,12771,5.825,0.625,11.0,GIN,1058.143,Sub-Saharan Africa
91,Guyana,2019,2940.0,87.15,18.265,775,783,1.032,9.238,39.0,GUY,6609.511,Latin America & Caribbean
93,Haiti,2019,2159.0,47.65,7.828,10982,11263,2.559,2.708,9.0,HTI,1312.771,Latin America & Caribbean
95,Honduras,2019,2678.0,62.28,12.173,9429,9746,3.362,5.8,218.0,HND,2556.457,Latin America & Caribbean
97,Hungary,2019,3391.0,89.48,32.645,9730,9685,-0.462,5.138,532.0,HUN,16735.66,Europe & Central Asia
98,Croatia,2019,3128.0,93.51,30.499,4183,4130,-1.267,3.469,54.0,HRV,15311.767,Europe & Central Asia
99,Iceland,2019,3637.0,143.94,45.724,334,339,1.497,5.65,10.0,ISL,68941.462,Europe & Central Asia
100,India,2019,2581.0,64.87,11.546,1338677,1366418,2.072,0.784,4232.0,IND,2100.751,South Asia
101,Indonesia,2019,2879.0,67.54,7.85,264651,270626,2.258,1.829,3539.0,IDN,4135.202,East Asia & Pacific
102,"Iran, Islamic Rep.",2019,3005.0,83.12,11.314,80674,82914,2.777,5.892,2292.0,IRN,3114.623,Middle East & North Africa
103,Iraq,2019,2615.0,64.77,7.38,32210,33717,4.679,1.532,101.0,IRQ,5980.627,Middle East & North Africa
104,Ireland,2019,3811.0,111.05,26.502,4753,4882,2.714,4.589,154.0,IRL,80886.616,Europe & Central Asia
105,Israel,2019,3558.0,126.1,23.974,8244,8519,3.336,13.192,617.0,ISR,43951.248,Middle East & North Africa
106,Italy,2019,3505.0,104.54,24.023,60674,60550,-0.204,3.505,1358.0,ITA,33641.634,Europe & Central Asia
