Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","52","Azerbaijan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","34.66","Fc","Calculated data"
"FBS","Food Balances (2010-)","12","Bahamas","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","2626","Fc","Calculated data"
"FBS","Food Balances (2010-)","12","Bahamas","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","76.1","Fc","Calculated data"
"FBS","Food Balances (2010-)","12","Bahamas","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","749","Fc","Calculated data"
"FBS","Food Balances (2010-)","12","Bahamas","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","48.43","Fc","Calculated data"
"FBS","Food Balances (2010-)","16","Bangladesh","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","2626","Fc","Calculated data"
"FBS","Food Balances (2010-)","16","Bangladesh","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","61.33","Fc","Calculated data"
"FBS","Food Balances (2010-)","16","Bangladesh","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","123","Fc","Calculated data"
"FBS","Food Balances (2010-)","16","Bangladesh","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","12.22","Fc","Calculated data"
"FBS","Food Balances (2010-)","14","Barbados","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","2989","Fc","Calculated data"
"FBS","Food Balances (2010-)","14","Barbados","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","90.04","Fc","Calculated data"
"FBS","Food Balances (2010-)","14","Barbados","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","713","Fc","Calculated data"
"FBS","Food Balances (2010-)","14","Barbados","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","50.77","Fc","Calculated data"
"FBS","Food Balances (2010-)","57","Belarus","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","3295","Fc","Calculated data"
"FBS","Food Balances (2010-)","57","Belarus","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","91.65","Fc","Calculated data"
"FBS","Food Balances (2010-)","57","Belarus","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","836","Fc","Calculated data"
"FBS","Food Balances (2010-)","57","Belarus","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","49.78","Fc","Calculated data"
"FBS","Food Balances (2010-)","255","Belgium","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","3800","Fc","Calculated data"
"FBS","Food Balances (2010-)","255","Belgium","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","100.34","Fc","Calculated data"
"FBS","Food Balances (2010-)","255","Belgium","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","1257","Fc","Calculated data"
"FBS","Food Balances (2010-)","255","Belgium","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","60.58","Fc","Calculated data"
"FBS","Food Balances (2010-)","23","Belize","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","2744","Fc","Calculated data"
"FBS","Food Balances (2010-)","23","Belize","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","73.54","Fc","Calculated data"
"FBS","Food Balances (2010-)","23","Belize","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","616","Fc","Calculated data"
"FBS","Food Balances (2010-)","23","Belize","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","32.99","Fc","Calculated data"
"FBS","Food Balances (2010-)","53","Benin","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","2775","Fc","Calculated data"
"FBS","Food Balances (2010-)","53","Benin","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","62.92","Fc","Calculated data"
"FBS","Food Balances (2010-)","53","Benin","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","128","Fc","Calculated data"
"FBS","Food Balances (2010-)","53","Benin","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","12.91","Fc","Calculated data"
"FBS","Food Balances (2010-)","19","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","2464","Fc","Calculated data"
"FBS","Food Balances (2010-)","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","74.37","Fc","Calculated data"
"FBS","Food Balances (2010-)","19","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","546","Fc","Calculated data"
"FBS","Food Balances (2010-)","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","35.61","Fc","Calculated data"
"FBS","Food Balances (2010-)","80","Bosnia and Herzegovina","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","3320","Fc","Calculated data"
"FBS","Food Balances (2010-)","80","Bosnia and Herzegovina","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","98.21","Fc","Calculated data"
"FBS","Food Balances (2010-)","80","Bosnia and Herzegovina","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","596","Fc","Calculated data"
"FBS","Food Balances (2010-)","80","Bosnia and Herzegovina","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","35.47","Fc","Calculated data"
"FBS","Food Balances (2010-)","20","Botswana","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","2570","Fc","Calculated data"
"FBS","Food Balances (2010-)","20","Botswana","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","72.18","Fc","Calculated data"
"FBS","Food Balances (2010-)","20","Botswana","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","356","Fc","Calculated data"
"FBS","Food Balances (2010-)","20","Botswana","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","27.09","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","3246","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","93.81","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","875","Fc","Calculated data"
"FBS","Food Balances (2010-)","21","Brazil","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","54.86","Fc","Calculated data"
"FBS","Food Balances (2010-)","27","Bulgaria","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","2854","Fc","Calculated data"
"FBS","Food Balances (2010-)","27","Bulgaria","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","82.24","Fc","Calculated data"
"FBS","Food Balances (2010-)","27","Bulgaria","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","690","Fc","Calculated data"
"FBS","Food Balances (2010-)","27","Bulgaria","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","41.42","Fc","Calculated data"
"FBS","Food Balances (2010-)","233","Burkina Faso","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","2733","Fc","Calculated data"
"FBS","Food Balances (2010-)","233","Burkina Faso","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","80.16","Fc","Calculated data"
"FBS","Food Balances (2010-)","233","Burkina Faso","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","151","Fc","Calculated data"
"FBS","Food Balances (2010-)","233","Burkina Faso","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","10.87","Fc","Calculated data"
"FBS","Food Balances (2010-)","29","Burundi","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","1825","Fc","Calculated data"
"FBS","Food Balances (2010-)","29","Burundi","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","43.35","Fc","Calculated data"
"FBS","Food Balances (2010-)","29","Burundi","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","46","Fc","Calculated data"
"FBS","Food Balances (2010-)","29","Burundi","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","3.07","Fc","Calculated data"
"FBS","Food Balances (2010-)","35","Cabo Verde","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","2583","Fc","Calculated data"
"FBS","Food Balances (2010-)","35","Cabo Verde","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","71.9","Fc","Calculated data"
"FBS","Food Balances (2010-)","35","Cabo Verde","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","426","Fc","Calculated data"
"FBS","Food Balances (2010-)","35","Cabo Verde","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","25.98","Fc","Calculated data"
"FBS","Food Balances (2010-)","115","Cambodia","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","2700","Fc","Calculated data"
"FBS","Food Balances (2010-)","115","Cambodia","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","65.53","Fc","Calculated data"
"FBS","Food Balances (2010-)","115","Cambodia","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","210","Fc","Calculated data"
"FBS","Food Balances (2010-)","115","Cambodia","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","18.72","Fc","Calculated data"
"FBS","Food Balances (2010-)","32","Cameroon","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","2770","Fc","Calculated data"
"FBS","Food Balances (2010-)","32","Cameroon","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","72.03","Fc","Calculated data"
"FBS","Food Balances (2010-)","32","Cameroon","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","114","Fc","Calculated data"
"FBS","Food Balances (2010-)","32","Cameroon","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","11.01","Fc","Calculated data"
"FBS","Food Balances (2010-)","33","Canada","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","3539","Fc","Calculated data"
"FBS","Food Balances (2010-)","33","Canada","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","108.55","Fc","Calculated data"
"FBS","Food Balances (2010-)","33","Canada","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","960","Fc","Calculated data"
"FBS","Food Balances (2010-)","33","Canada","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","61.12","Fc","Calculated data"
"FBS","Food Balances (2010-)","37","Central African Republic","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","1870","Fc","Calculated data"
"FBS","Food Balances (2010-)","37","Central African Republic","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","50.9","Fc","Calculated data"
"FBS","Food Balances (2010-)","37","Central African Republic","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","266","Fc","Calculated data"
"FBS","Food Balances (2010-)","37","Central African Republic","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","21.02","Fc","Calculated data"
"FBS","Food Balances (2010-)","39","Chad","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","2272","Fc","Calculated data"
"FBS","Food Balances (2010-)","39","Chad","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","78.06","Fc","Calculated data"
"FBS","Food Balances (2010-)","39","Chad","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","324","Fc","Calculated data"
"FBS","Food Balances (2010-)","39","Chad","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","27.07","Fc","Calculated data"
"FBS","Food Balances (2010-)","40","Chile","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","3078","Fc","Calculated data"
"FBS","Food Balances (2010-)","40","Chile","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","93.87","Fc","Calculated data"
"FBS","Food Balances (2010-)","40","Chile","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","792","Fc","Calculated data"
"FBS","Food Balances (2010-)","40","Chile","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","49.55","Fc","Calculated data"
"FBS","Food Balances (2010-)","351","China","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","3340","Fc","Calculated data"
"FBS","Food Balances (2010-)","351","China","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","105.11","Fc","Calculated data"
"FBS","Food Balances (2010-)","351","China","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","754","Fc","Calculated data"
"FBS","Food Balances (2010-)","351","China","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","41.62","Fc","Calculated data"
"FBS","Food Balances (2010-)","96","China, Hong Kong SAR","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","3236","Fc","Calculated data"
"FBS","Food Balances (2010-)","96","China, Hong Kong SAR","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","129.45","Fc","Calculated data"
"FBS","Food Balances (2010-)","96","China, Hong Kong SAR","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","1303","Fc","Calculated data"
"FBS","Food Balances (2010-)","96","China, Hong Kong SAR","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","96.65","Fc","Calculated data"
"FBS","Food Balances (2010-)","128","China, Macao SAR","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","3312","Fc","Calculated data"
"FBS","Food Balances (2010-)","128","China, Macao SAR","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","107.31","Fc","Calculated data"
"FBS","Food Balances (2010-)","128","China, Macao SAR","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","1058","Fc","Calculated data"
"FBS","Food Balances (2010-)","128","China, Macao SAR","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","69.17","Fc","Calculated data"
"FBS","Food Balances (2010-)","41","China, mainland","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","3347","Fc","Calculated data"
"FBS","Food Balances (2010-)","41","China, mainland","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","105.3","Fc","Calculated data"
"FBS","Food Balances (2010-)","41","China, mainland","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","752","Fc","Calculated data"
"FBS","Food Balances (2010-)","41","China, mainland","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","41.25","Fc","Calculated data"
"FBS","Food Balances (2010-)","214","China, Taiwan Province of","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","2958","Fc","Calculated data"
"FBS","Food Balances (2010-)","214","China, Taiwan Province of","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","85.96","Fc","Calculated data"
"FBS","Food Balances (2010-)","214","China, Taiwan Province of","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","693","Fc","Calculated data"
"FBS","Food Balances (2010-)","214","China, Taiwan Province of","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","45.44","Fc","Calculated data"
"FBS","Food Balances (2010-)","44","Colombia","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","2992","Fc","Calculated data"
"FBS","Food Balances (2010-)","44","Colombia","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","72.72","Fc","Calculated data"
"FBS","Food Balances (2010-)","44","Colombia","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","559","Fc","Calculated data"
"FBS","Food Balances (2010-)","44","Colombia","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","38.08","Fc","Calculated data"
"FBS","Food Balances (2010-)","45","Comoros","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","2285","Fc","Calculated data"
"FBS","Food Balances (2010-)","45","Comoros","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","57.57","Fc","Calculated data"
"FBS","Food Balances (2010-)","45","Comoros","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","184","Fc","Calculated data"
"FBS","Food Balances (2010-)","45","Comoros","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","18.63","Fc","Calculated data"
"FBS","Food Balances (2010-)","46","Congo","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","2183","Fc","Calculated data"
"FBS","Food Balances (2010-)","46","Congo","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","53.11","Fc","Calculated data"
"FBS","Food Balances (2010-)","46","Congo","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","222","Fc","Calculated data"
"FBS","Food Balances (2010-)","46","Congo","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","25.51","Fc","Calculated data"
"FBS","Food Balances (2010-)","48","Costa Rica","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","2996","Fc","Calculated data"
"FBS","Food Balances (2010-)","48","Costa Rica","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","80.84","Fc","Calculated data"
"FBS","Food Balances (2010-)","48","Costa Rica","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","693","Fc","Calculated data"
"FBS","Food Balances (2010-)","48","Costa Rica","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","46.28","Fc","Calculated data"
"FBS","Food Balances (2010-)","107","Côte d'Ivoire","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","2841","Fc","Calculated data"
"FBS","Food Balances (2010-)","107","Côte d'Ivoire","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","59.27","Fc","Calculated data"
"FBS","Food Balances (2010-)","107","Côte d'Ivoire","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","112","Fc","Calculated data"
"FBS","Food Balances (2010-)","107","Côte d'Ivoire","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","14.32","Fc","Calculated data"
"FBS","Food Balances (2010-)","98","Croatia","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","3128","Fc","Calculated data"
"FBS","Food Balances (2010-)","98","Croatia","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","93.51","Fc","Calculated data"
"FBS","Food Balances (2010-)","98","Croatia","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","954","Fc","Calculated data"
"FBS","Food Balances (2010-)","98","Croatia","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","57.13","Fc","Calculated data"
"FBS","Food Balances (2010-)","49","Cuba","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","3375","Fc","Calculated data"
"FBS","Food Balances (2010-)","49","Cuba","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","82.59","Fc","Calculated data"
"FBS","Food Balances (2010-)","49","Cuba","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","528","Fc","Calculated data"
"FBS","Food Balances (2010-)","49","Cuba","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","34.21","Fc","Calculated data"
"FBS","Food Balances (2010-)","50","Cyprus","664","Food supply (kcal/capita/day)","2901","Grand Total","2019","2019","kcal/capita/day","3046","Fc","Calculated data"
"FBS","Food Balances (2010-)","50","Cyprus","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2019","2019","g/capita/day","92.38","Fc","Calculated data"
