Country Name;Region;World Rank;Region Rank;2022 Score;Property Rights;Judical Effectiveness;Government Integrity;Tax Burden;Gov't Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom ;Financial Freedom;Tariff Rate (%);Income Tax Rate (%);Corporate Tax Rate (%);Tax Burden % of GDP;Gov't Expenditure % of GDP ;Population (Millions);GDP (Billions, PPP);GDP Growth Rate (%);5 Year GDP Growth Rate (%);GDP per Capita (PPP);Unemployment (%);Inflation (%);FDI Inflow (Millions);Public Debt (% of GDP)
Saint Lucia;Americas;65;13;64.3;66.8;76.9;58.1087222343936;77.5;78.7;50.1;61.5;58.1953654537454;82.2;56.6;65;40;14.2;30;30;21.1;26.6626666666667;0.183629;2.417;-18.85;-1.4462;13359.365;17.13;-1.753;15;84.408
Saint Vincent and the Grenadines;Americas;54;9;65.7;64;76.9;61.9857894635628;75.5;66.9;68.5;61.4;58.7509730289207;84.2;59.8;70;40;12.6;30;30;25.4;33.219;0.110947;1.394;-4.18;0.2444;12606.055;20.27;-0.606;73;87.178
Samoa;Asia-Pacific;40;7;68.3;78.4;78.4;53.7259448292879;78.6;68.5;95.6;61.5;71.6164084479638;81.4;66.4;55;30;9.3;27;27;26.17;32.383;0.19841;1.147;-3.154;1.4926;5652.893;8.87;1.48;-1;46.694
São Tomé and Príncipe;Sub-Saharan Africa;85;7;60.3;44.1;62.2;48.7035017483012;88.2;83.1;85.9;49;41.6422016483222;65.9;65;60;30;10;20;25;12.5;23.7276666666667;0.219161;0.835;-6.5;1.1746;3829.284;13.86;9.808;47;81.385
Saudi Arabia;Middle East and North Africa;118;9;55.5;46.7;35.8;50.6659199635464;99.3;57.3;17.9;68.1;41.2390506362816;79;74.8;45;50;5.1;2.5;2.5;7.4;37.7203333333333;34.813867;1627.305;-4.147;-0.0906;46810.63;8.22;3.438;5486;32.435
Senegal;Sub-Saharan Africa;88;8;60;58;49.8;47.7569346212835;72.3;82.1;56.7;57.9;53.912151300931;76.1;65.8;60;40;9.6;40;30;16.5;24.417;16.74393;58.267;0.828;5.0404;3478.479;7.1;2.533;1481;65.811
Serbia;Europe;59;35;65.2;58.8;50.4;37.9203580272117;90.9;42.5;85.7;74.4;62.8998864073692;81.6;77;70;50;6.5;10;15;24.1;43.7713333333333;6.908224;132.792;-0.98;2.6408;19145.561;9.08;1.672;3440;58.369
Seychelles;Sub-Saharan Africa;79;5;61.1;78.8;62.4;65.2134904011189;76.4;42.5;36.7;61.2;61.7040159092097;82.1;81.2;55;30;4.4;15;33;32.4;43.7766666666667;0.098462;2.471;-13.359;-0.1464;25413.871;n/a;1.203;122;98.375
Sierra Leone;Sub-Saharan Africa;140;30;52;43.1;41.9;32.3969416920217;86.7;84.9;54;34.4;38.1887405409485;65.1;63.6;60;20;13.2;15;30;14.4;22.4163333333333;7.976985;13.772;-2.249;3.3686;1724.897;4.6;15.696;349;71.947
Singapore;Asia-Pacific;1;1;84.4;94.4;58.3;92.7963971321789;90.5;90.1;79.6;83.1;77.0303863961474;86.5;95;85;80;0;22;17;13.2;18.1646666666667;5.685807;560.205;-5.391;1.46;97056.534;5.19;-0.182;90562;128.371
Slovakia;Europe;36;23;69.7;83.2;71.9;53.7094325286556;77.3;41.8;76;75.9;56.5476589113606;75.5;79.2;75;70;2.9;25;21;34.74;44.0506666666667;5.458827;178.526;-5.2;1.2124;32709.862;6.79;2.01;-1930;60.661
Slovenia;Europe;32;22;70.5;89.7;91.6;66.7499322916898;57.2;36.4;77.4;79.7;63.326397460464;85.1;79.2;70;50;2.9;50;19;37.65;46.0383333333333;2.100126;81.334;-5.532;2.0044;38807.008;5.17;-0.051;529;81.452
Solomon Islands;Asia-Pacific;110;22;56.5;50.6;59.5;42.3394136303428;70.5;60.1;98;44.4;60.2175786020928;79;68.6;15;30;8.2;40;30;21.16;36.4686666666667;0.686878;1.608;-4.32;2.4094;2454.821;0.79;3.436;9;13.939
Somalia;Sub-Saharan Africa;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;15.893219;13.91;-1.5;1.6958;924.532;13.1;n/a;464;n/a
